"Date","Time","Open","High","Low","Close","Up","Down"
08/02/2021,02:00,17700.0,18012.5,17412.5,17725.0,0,0
08/02/2021,03:00,17700.0,18237.5,17575.0,17900.0,0,0
08/02/2021,04:00,17950.0,18487.5,17837.5,18150.0,0,0
08/02/2021,05:00,18150.0,18375.0,17875.0,18125.0,0,0
08/02/2021,06:00,18125.0,18350.0,17975.0,18187.5,0,0
08/02/2021,07:00,18162.5,18387.5,17862.5,18087.5,0,0
08/02/2021,08:00,18075.0,18175.0,17750.0,17987.5,0,0
08/02/2021,09:00,17962.5,18025.0,17462.5,17850.0,0,0
08/02/2021,10:00,17800.0,18050.0,17562.5,17762.5,0,0
08/02/2021,11:00,17762.5,17862.5,17425.0,17600.0,0,0
08/02/2021,12:00,17575.0,17800.0,17425.0,17500.0,0,0
08/02/2021,13:00,17500.0,17687.5,17275.0,17325.0,0,0
08/02/2021,14:00,17400.0,17875.0,17325.0,17662.5,0,0
08/02/2021,15:00,17700.0,18062.5,17500.0,17937.5,0,0
08/02/2021,16:00,17887.5,18350.0,17762.5,18187.5,0,0
08/02/2021,17:00,18212.5,18700.0,18137.5,18500.0,0,0
08/02/2021,18:00,18450.0,19025.0,18300.0,18487.5,0,0
08/03/2021,02:00,18650.0,19000.0,18462.5,18812.5,0,0
08/03/2021,03:00,18875.0,19075.0,18625.0,18937.5,0,0
08/03/2021,04:00,18912.5,19200.0,18825.0,19112.5,0,0
08/03/2021,05:00,19137.5,19275.0,18862.5,19000.0,0,0
08/03/2021,06:00,18975.0,19150.0,18725.0,18750.0,0,0
08/03/2021,07:00,18750.0,19275.0,18650.0,18825.0,0,0
08/03/2021,08:00,18850.0,18962.5,18575.0,18850.0,0,0
08/03/2021,09:00,18800.0,19212.5,18587.5,18912.5,0,0
08/03/2021,10:00,18975.0,19125.0,18462.5,18775.0,0,0
08/03/2021,11:00,18775.0,19000.0,18425.0,18650.0,0,0
08/03/2021,12:00,18650.0,18975.0,18300.0,18587.5,0,0
08/03/2021,13:00,18562.5,18600.0,18275.0,18425.0,0,0
08/03/2021,14:00,18425.0,19075.0,18150.0,18950.0,0,0
08/03/2021,15:00,18975.0,19275.0,18750.0,19062.5,0,0
08/03/2021,16:00,19062.5,19225.0,18437.5,18575.0,0,0
08/03/2021,17:00,18587.5,18750.0,18250.0,18587.5,0,0
08/03/2021,18:00,18587.5,18962.5,18450.0,18562.5,0,0
08/04/2021,02:00,18762.5,18875.0,18500.0,18762.5,0,0
08/04/2021,03:00,18737.5,19050.0,18487.5,18850.0,0,0
08/04/2021,04:00,18850.0,19150.0,18750.0,19075.0,0,0
08/04/2021,05:00,19050.0,19125.0,18812.5,19012.5,0,0
08/04/2021,06:00,19012.5,19175.0,18950.0,19125.0,0,0
08/04/2021,07:00,19112.5,19375.0,19012.5,19175.0,0,0
08/04/2021,08:00,19175.0,19325.0,18787.5,18925.0,0,0
08/04/2021,09:00,18937.5,19075.0,18625.0,19025.0,0,0
08/04/2021,10:00,19000.0,19150.0,18700.0,19062.5,0,0
08/04/2021,11:00,19000.0,19062.5,18700.0,18800.0,0,0
08/04/2021,12:00,18825.0,19112.5,18675.0,18837.5,0,0
08/04/2021,13:00,18812.5,18950.0,18412.5,18700.0,0,0
08/04/2021,14:00,18700.0,19287.5,18337.5,19112.5,0,0
08/04/2021,15:00,19025.0,19225.0,18725.0,18787.5,0,0
08/04/2021,16:00,18862.5,19150.0,18625.0,18787.5,0,0
08/04/2021,17:00,18687.5,19037.5,18625.0,18925.0,0,0
08/04/2021,18:00,18925.0,18937.5,18650.0,18750.0,0,0
08/05/2021,02:00,18887.5,19150.0,18775.0,18937.5,0,0
08/05/2021,03:00,18912.5,19225.0,18850.0,19012.5,0,0
08/05/2021,04:00,19037.5,19350.0,18950.0,19050.0,0,0
08/05/2021,05:00,19087.5,19312.5,19037.5,19162.5,0,0
